raLow;raHigh;decLow;con
0.0000;24.0000;88.0000;UMi
8.0000;14.5000;86.5000;UMi
21.0000;23.0000;86.1667;UMi
18.0000;21.0000;86.0000;UMi
0.0000;8.0000;85.0000;Cep
9.1667;10.6667;82.0000;Cam
12.5000;14.5000;82.0000;Cam
14.5000;18.0000;82.0000;UMi
0.0000;5.0000;80.0000;Cep
10.6667;12.5000;80.0000;Cam
17.5000;18.0000;80.0000;UMi
20.1667;21.0000;80.0000;Dra
0.0000;3.5000;77.0000;Cep
11.5000;13.5833;77.0000;Cam
16.5333;17.5000;75.0000;UMi
20.1667;20.6667;75.0000;Cep
7.0000;9.1667;73.5000;Cam
11.5000;12.0000;73.5000;Cam
13.5833;16.5333;70.0000;UMi
3.5000;5.0667;70.0000;Cep
20.5333;21.0000;70.0000;Cep
5.0667;7.0000;70.0000;Cam
9.1667;11.3333;70.0000;Dra
11.3333;12.0000;70.0000;Dra
0.0000;3.5000;66.5000;Cep
12.0000;13.5000;66.0000;UMa
14.0000;15.6667;66.0000;UMi
15.6667;16.5333;66.0000;Dra
20.5333;20.6000;66.0000;Cep
7.0000;9.1667;64.0000;Cam
9.1667;10.1667;64.0000;UMa
21.0000;23.5833;63.0000;Cep
23.5833;24.0000;63.0000;Cep
0.0000;2.3167;61.5000;Cas
20.6000;21.0000;61.5000;Cep
10.1667;10.7833;61.5000;UMa
13.0000;13.5000;61.5000;UMa
6.1000;7.0000;60.0000;Lyn
13.5000;14.0000;60.0000;UMa
17.5000;18.0000;60.0000;Dra
2.3167;3.4167;58.5000;Cas
10.7833;11.1000;58.5000;UMa
20.0000;20.5333;58.5000;Dra
15.6667;17.5000;55.5000;Dra
11.1000;11.9500;56.0000;UMa
18.0000;18.5000;56.0000;Dra
0.0000;2.3167;55.0000;Cas
4.5000;6.1000;55.0000;Cam
11.9500;12.0000;55.0000;UMa
14.0000;15.6667;55.5000;Dra
3.4167;4.5000;52.5000;Per
12.0000;12.3333;53.0000;CVn
7.0000;7.6833;53.0000;Lyn
20.0000;20.5333;53.0000;Cep
6.1000;7.0000;50.0000;Lyn
12.3333;13.0000;50.0000;CVn
18.5000;19.1667;50.0000;Dra
0.0000;1.6667;50.0000;Cas
23.5833;24.0000;50.0000;Cas
19.1667;19.4000;47.5000;Cyg
1.6667;1.9000;48.0000;Cas
7.6833;9.1833;48.0000;Lyn
4.5000;5.0667;46.0000;Per
15.6667;17.5000;45.5000;Her
19.4000;19.6833;47.0000;Cyg
9.1833;10.1667;48.0000;LMi
21.9167;23.5833;48.0000;And
19.6833;20.0000;45.5000;Cyg
1.9000;2.5333;46.0000;Per
0.0000;1.0000;44.0000;And
13.0000;14.0000;44.0000;CVn
20.9333;21.7333;44.0000;Cyg
17.5000;17.8833;45.0000;Her
10.1667;10.7833;43.5000;LMi
5.0667;6.1000;44.0000;Aur
14.0000;15.6667;40.0000;Boo
1.0000;1.6667;43.0000;And
2.5333;3.5833;43.5000;Per
20.0000;20.5333;40.0000;Cyg
3.5833;4.5000;40.5000;Per
10.7833;11.0000;40.0000;LMi
17.8833;18.1667;37.5000;Her
11.0000;12.0000;40.0000;LMi
18.1667;18.8667;37.5000;Lyr
7.6833;8.0000;40.0000;Lyn
20.5333;20.9333;36.7500;Cyg
19.4000;19.9167;36.0000;Lyr
6.1000;6.5000;36.0000;Aur
21.7333;21.9167;36.0000;Lac
8.0000;9.1833;36.0000;Lyn
0.0000;0.0667;36.0000;And
12.0000;13.5000;36.0000;CVn
15.6667;15.7500;36.0000;CrB
22.8667;23.5833;36.0000;And
